Name,Surname,url
Agim,Aliu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Agim_Aliu.pdf
Abdurrahman,Uruqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Abdurrahman_Orruqi.pdf
Ali,Luzha,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Ali_Luzha.pdf
Ardian,Ferizi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Ardian_Ferizi.pdf
Avdulla,Hoxha,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Avdullah_Hoxha.pdf
Adem,Sejdiu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Adem_Sejdiu.pdf
Agim,Berisha,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Agim_Berisha.pdf
Arbenita,Sadiku,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Arbenita_Sadiku.pdf
Asllan,Shabani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Asllan_Shabani.pdf
Bajrush,Xhemaili,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Bajrush_Xhemaili.pdf
Besim,Zymberi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Besim_Zymberi.pdf
Bekim,Ademi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Bekim_Ademi.pdf
Burbuqe,Bucaliu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Burbuqe_Bucaliu.pdf
Bashkim,Hyseni,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Bashkim__Hyseni.pdf
David,Demaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/David_Demaj.pdf
Faruk,Guri,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Ferizajit/Faruk_Guri.pdf
