Name,Surname,url
Aferdita,Veliu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Aferdita_Veliu.pdf
Agim,Gashi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Agim_Gashi.pdf
Ajnishah,Azemi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Ajnishah_Azemi.pdf
Arta ,Krasniqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Arta_Krasniqi.pdf
Avdullah ,Hoti,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Avdullah_Hoti.pdf
Aziz,Pacolli,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Aziz_Pacolli.pdf
Agim,Dibrani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Agim_Dibrani.pdf
Agim ,Krasniqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Agim_Krasniqi.pdf
Arianit,Mustafa,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Arianit_Mustafa.pdf
Astrit,Hasani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Astrit_Hasani.pdf
Avdush,Dobratiqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Avdush_Dobratiqi.pdf
Bajram,Selimaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Bajram_Selimaj.pdf
Behxhet,Musliu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Behxhet_Musliu.pdf
Besa,Zagragja,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Besa_Zagragja.pdf
Burim,Etemaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Burim_Etemaj.pdf
Behare ,Sopjani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Behare_Sopjani.pdf
Bekim,Gashi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Bekim_Gashi.pdf
Besa,Rafuna,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Besa_Rafuna.pdf
Donika,Surdulli,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Donika_Surdulli.pdf
Edon,Myftari,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Edon_Myftari.pdf
Engin,Beyoglm,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Engin_Beyoglm.pdf
Ekrem,Rexha,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Ekrem_Rexha.pdf
Fetah ,Salihu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Fetah_Salihu.pdf
Flamur,Shala,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Flamur_Shala.pdf
Feti ,Mehdiu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Feti_Mehdiu.pdf
Halim,Halimi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Halim_Halimi.pdf
Hazir,Borovci,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Hazir_Borovci.pdf
Haxhi,Ramaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Haxhi_Ramaj.pdf
Hetem,Kupina,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Hetem_Kupina.pdf
Ibush ,Kelmendi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Ibush_Kelmendi.pdf
Isa,Mustafa,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Isa_Mustafa.pdf
Isa,Lahi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Isa_Lahi.pdf
Kimet,Zeqa,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Kimet_Zeqa.pdf
Liridon,Restelica,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Liridon_Restelica.pdf
Lumnie,Ramaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Lumnie_Rama.pdf
Luan,Jusufi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Luan_Jusufi.pdf
Milazim,Vitija,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/MIlazim_Vitija.pdf
Meliza,Haradinaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Meliza_Haradinaj.pdf
Muhamet,Gashi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Muhamet_Gashi.pdf
Mustafe,Krasniqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Mustafe_Krasniqi.pdf
Mejreme ,Berisha,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Mejreme_Berisha.pdf
Muhamet,Nura,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Muhamet_Nura.pdf
Musli,Mehaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Musli_Mehaj.pdf
Naim ,Makolli,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Naim_Makolli.pdf
Nerxhivane,Vitia,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Nerxhivane_Vitia.pdf
Naime,Osmani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Naime_Osmani.pdf
Nexhmije,Berisha,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Nexhmije_Berisha.pdf
Premtina,Rakovica,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Premtina__Rakovica.pdf
Remzi,Pacolli,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Remzi_Pacolli.pdf
Ridvan,Shahini,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Ridvan_Shahini.pdf
Rexhep,Mustafa,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Rexhep_Mustafa.pdf
Rrahman,Ismajli,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Rrahman_Ismajli.pdf
Sadri ,Ramabaja,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Sadri_Ramabaja.pdf
Sami,Hamiti,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Sami_Hamiti.pdf
Shaip ,Hajrizi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Shaip_Hajrizi.pdf
Shefki,Ukaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Shefki_Ukaj.pdf
Shemsi,Veseli,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Shemsi_Veseli.pdf
Skender,Reqica,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Skender_Reqica.pdf
Salih,Krasniqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Salih_Krasniqi.pdf
Sarande,Sadriu Mehmeti,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Sarande_Sadriu_Mehmeti.pdf
Shefki ,Gashi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Shefki_Gashi.pdf
Shefqet,Sylejmani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Shefqet_Sylejmani.pdf
Shiqeri,Spahiu,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Shiqeri_Spahiu.pdf
Sofije,Kllokoqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Sofije_Kllokoqi.pdf
Tefik,Mehmeti,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Tefik_Mehmeti.pdf
Valbon,Krasniqi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Valbon_Krasniqi.pdf
Vjollca,Dibra Ibrahimi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Vjollca_Dibra_Ibrahimi.pdf
Vlora ,Dumoshi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Vlora_Dumoshi.pdf
Valon,Hiseni,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Valon_Hiseni.pdf
Vjollca,Rizani,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Vjollca__Rizani.pdf
Xhelil,Bekteshi,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Xhelil_Bekteshi.pdf
Zejnullah,Mehaj,http://www.akk-ks.org/declaration/2012/Komunat/Komuna_e_Prishtines/Zejnullah_Mehaj.pdf
