Name,Surname,url
Ajshe,Shala,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Ajshe_Shala.pdf
Arhim,Ajazi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Arhim_Ajazi.pdf
Arber,Rexhaj,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Arber_Rexhaj.pdf
Agron,Hoxha,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Agron_Hoxha.pdf
Agnesa,Bytyqi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Agnesa_Bytyqi.pdf
Alush,Shala,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Alush_Shala.pdf
Azzam,Dida,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Azzam_Dida.pdf
Agnesa,Sinanaj,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Agnesa_Sinanaj.pdf
Artan,Abrashi,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Artan_Abrashi.pdf
Bujar,Hasani,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Bujar_Hasani.pdf
Bujar,Nerjovaj,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Bujar_Nervoja.pdf
Bedrija,Ejupagic,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Bedrija_Ejupagic.pdf
Behar,Begaj,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Behar_Begaj.pdf
Cemil,Luma,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Cemil_Luma.pdf
Dafina,Alishani,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Dafina_Alishani.pdf
Drita,Millaku,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Drita_Millaku.pdf
Ermina,Jonuzi Saiti,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Ermina_Jonuzi_Saiti.pdf
Ertan,Simitci,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Ertan_Simitci.pdf
Fatmir,Kastrati,http://www.akk-ks.org/declaration/2017/Komunat/Komuna_e_Prizrenit/Fatmir_Kastrati.pdf
